계열,모집단위,모집인원,지원인원,경쟁률,합격인원,최종추합번호,환산 평균,환산 70%,수능 전형
자연계,통계학과,10,78,7.8,10,7번,694.91,692.92,가
인문사회계,특수교육과,6,25,4.17,6,6번,683.11,682.24,가
인문사회계,한문학과,11,74,6.73,11,12번,677.66,676.5,나
자연계,한의학전문대학원(학ㆍ석사통합과정),5,52,10.4,5,8번,756.75,756.72,나
자연계,항공우주공학과,17,133,7.82,16,11번,697.45,696.83,가
자연계,해양학과,17,98,5.76,16,5번,680.76,676.86,나
인문사회계,행정학과,15,84,5.6,15,12번,694.28,689.16,나
자연계,화공생명.환경공학부(화공생명공학전공),22,137,6.23,22,19번,720.57,718.87,가
자연계,화공생명.환경공학부(환경공학전공),15,83,5.53,15,9번,691.45,690.05,가
자연계,화학과,27,125,4.63,27,17번,695.45,691.17,나
자연계,화학교육과,7,51,7.29,7,6번,694.43,692.94,가
자연계,IT응용공학과,14,65,4.64,14,11번,673.95,667.22,나
